code	0-15 hours	16-30 hours	31-48 hours	49+ hours
E00000259	15	35	69	14
E00000260	14	17	54	12
E00000261	9	25	59	15
E00000263	17	56	108	20
E00000264	12	32	48	14
E00000265	6	18	83	14
E00000266	16	32	83	12
E00000267	18	22	80	12
E00000268	11	21	90	8
E00000269	11	33	90	16
E00000270	12	29	96	9
E00000271	9	20	93	16
E00000272	15	24	96	11
E00000273	15	26	78	7
E00000274	12	20	79	13
E00000275	10	24	86	11
E00000276	21	42	100	16
E00000277	6	30	96	11
E00000278	9	15	98	3
E00000279	5	12	65	15
E00000280	14	23	60	5
E00000282	13	30	78	11
E00000283	13	35	69	11
E00000284	10	19	78	15
E00000285	11	24	86	10
E00000286	9	32	89	5
E00000287	5	32	93	21
E00000288	12	35	116	24
E00000289	9	16	73	18
E00000290	10	30	84	9
E00000291	11	22	75	15
E00000292	8	26	67	12
E00000293	3	26	68	4
E00000294	13	34	81	17
E00000295	8	31	88	7
E00000296	10	24	98	13
E00000297	14	33	91	17
E00000298	6	32	94	10
E00000299	12	23	64	14
E00000300	11	24	67	8
E00000301	9	23	71	9
E00000302	5	23	80	18
E00000303	11	35	100	10
E00000304	7	8	55	9
E00000305	15	33	117	26
E00000306	15	23	74	16
E00000307	14	33	87	24
E00000308	18	33	127	13
E00000309	10	24	41	5
E00000310	12	21	69	12
E00000311	18	36	118	16
E00000312	13	11	76	10
E00000313	19	30	127	11
E00000314	11	32	95	8
E00000315	9	26	63	11
E00000316	15	30	79	17
E00000317	6	16	44	6
E00000318	6	16	67	7
E00000319	12	16	61	17
E00000320	13	33	107	13
E00000321	9	27	62	11
E00000322	10	27	83	9
E00000323	9	14	50	10
E00000324	6	17	62	12
E00000325	19	28	75	13
E00000326	11	33	92	12
E00000327	17	25	65	9
E00000328	8	30	78	11
E00000329	4	16	53	3
E00000330	7	20	48	6
E00000331	11	26	96	5
E00000332	18	53	138	15
E00000333	22	42	101	16
E00000334	21	41	119	21
E00000335	17	37	86	13
E00000336	21	35	126	20
E00000337	12	18	91	17
E00000338	14	30	115	11
E00000339	16	29	109	25
E00000340	15	39	103	15
E00000341	15	38	113	15
E00000342	25	28	95	22
E00000343	23	53	120	19
E00000344	20	36	125	21
E00000345	16	33	126	18
E00000346	20	35	105	18
E00000347	11	38	106	18
E00000348	18	43	132	24
E00000349	17	38	109	16
E00000350	17	28	89	19
E00000351	20	38	128	25
E00000352	16	38	114	24
E00000353	21	48	109	28
E00000354	8	23	78	15
E00000355	18	33	99	19
E00000356	17	40	95	18
E00000357	20	28	124	17
E00000358	9	15	63	10
E00000360	11	19	78	9
E00000361	9	28	91	12
E00000362	3	22	73	10
E00000363	10	14	68	10
E00000364	14	26	63	10
E00000365	7	19	64	12
E00000366	10	23	77	7
E00000367	17	33	96	9
E00000368	14	17	74	4
E00000369	10	17	83	11
E00000370	7	28	82	14
E00000371	8	22	71	19
E00000372	9	31	71	14
E00000373	11	22	66	12
E00000374	13	38	81	14
E00000375	12	29	73	16
E00000376	13	28	70	11
E00000377	3	29	66	14
E00000378	6	22	71	7
E00000379	10	26	86	9
E00000380	16	35	88	15
E00000381	15	19	77	11
E00000382	7	35	90	9
E00000383	12	29	61	8
E00000384	10	27	79	9
E00000385	7	26	94	12
E00000386	17	28	108	15
E00000387	13	34	84	18
E00000388	14	19	78	11
E00000389	17	23	85	24
E00000390	10	23	96	14
