code	AB Upper Middle Class	C1 Lower Middle Class	C2 Skilled Working Class	DE Working Class
E00000258	8	37	27	49
E00000259	14	33	15	33
E00000260	11	26	18	33
E00000261	8	23	26	28
E00000263	23	65	36	60
E00000264	7	29	24	56
E00000265	8	25	27	30
E00000266	7	28	24	43
E00000267	5	33	23	28
E00000268	7	31	35	41
E00000269	15	37	23	38
E00000270	5	30	30	35
E00000271	9	28	24	38
E00000272	9	30	26	35
E00000273	10	26	23	28
E00000274	5	22	26	33
E00000275	7	22	30	50
E00000276	16	59	29	79
E00000277	15	48	31	35
E00000278	10	30	17	34
E00000279	12	32	27	28
E00000280	5	24	17	33
E00000282	8	24	22	39
E00000283	13	21	24	26
E00000284	7	20	31	43
E00000285	9	27	20	26
E00000286	10	36	22	35
E00000287	13	36	30	31
E00000288	15	57	28	55
E00000289	6	27	31	28
E00000290	11	23	20	36
E00000291	5	25	31	26
E00000292	5	24	32	28
E00000293	12	16	22	31
E00000294	9	32	28	48
E00000295	7	24	29	29
E00000296	11	33	26	34
E00000297	8	33	28	29
E00000298	12	27	25	38
E00000299	12	21	22	16
E00000300	4	34	20	34
E00000301	12	25	26	31
E00000302	11	25	27	34
E00000303	6	36	25	51
E00000304	6	28	22	38
E00000305	15	30	25	63
E00000306	7	32	18	39
E00000307	9	34	29	41
E00000308	17	49	31	31
E00000309	4	35	12	55
E00000310	15	28	14	35
E00000311	10	36	29	32
E00000312	8	25	23	29
E00000313	18	37	28	24
E00000314	5	35	25	38
E00000315	5	23	22	32
E00000316	14	40	22	28
E00000317	9	16	19	47
E00000318	7	25	29	32
E00000319	3	27	16	25
E00000320	21	34	29	24
E00000321	12	23	15	25
E00000322	7	32	25	36
E00000323	9	22	14	29
E00000324	7	24	21	30
E00000325	8	32	25	38
E00000326	16	42	20	37
E00000327	7	25	30	66
E00000328	4	36	27	62
E00000329	8	33	18	66
E00000330	4	20	26	52
E00000331	16	29	29	37
E00000332	23	35	20	22
E00000333	19	27	21	27
E00000334	20	31	19	25
E00000335	21	33	12	28
E00000336	18	42	17	24
E00000337	19	34	19	27
E00000338	20	35	13	19
E00000339	23	33	25	13
E00000340	18	29	16	17
E00000341	10	42	30	29
E00000342	16	18	19	19
E00000343	21	33	28	25
E00000344	18	40	20	25
