code	AB Upper Middle Class	C1 Lower Middle Class	C2 Skilled Working Class	DE Working Class
E00045111	9	17	14	51
E00045112	12	24	18	34
E00045113	7	25	26	44
E00045114	3	13	21	58
E00045115	7	18	19	42
E00045116	10	24	18	48
E00045117	2	22	9	43
E00045118	9	25	25	34
E00045119	12	32	22	53
E00045120	6	25	29	48
E00045121	11	26	20	52
E00045122	3	17	19	45
E00045123	5	27	19	28
E00045124	9	24	20	55
E00045125	13	24	13	48
E00045126	16	34	27	39
E00045127	10	25	19	34
E00045128	17	32	15	45
E00045129	15	31	27	55
E00045130	12	26	22	38
E00045131	12	30	21	66
E00045132	7	17	20	32
E00045133	9	29	25	25
E00045134	9	27	23	51
E00045135	9	27	16	57
E00045136	9	22	31	56
E00045137	18	28	21	31
E00045138	6	24	32	37
E00045139	1	7	12	27
E00045140	5	19	21	41
E00045141	12	32	19	23
E00045142	8	22	28	45
E00045143	7	34	22	31
E00045144	25	45	31	34
E00045145	10	30	33	53
E00045146	15	35	33	24
E00045147	13	30	25	47
E00045148	22	29	37	39
E00045149	12	25	23	19
E00045150	25	25	27	24
E00045151	23	29	27	31
E00045152	11	27	30	28
E00045153	8	26	29	24
E00045154	17	44	25	35
E00045155	17	37	27	27
E00045156	12	24	23	20
E00045157	12	37	32	17
E00045158	32	38	27	31
E00045159	14	36	22	32
E00045160	19	23	18	51
E00045161	6	34	18	49
E00045162	7	29	28	52
E00045163	31	35	19	19
E00045164	6	28	14	51
E00045165	15	26	28	38
E00045166	6	27	13	39
E00045167	6	24	14	71
E00045168	5	21	12	61
E00045169	5	17	19	63
E00045170	6	13	19	54
E00045171	7	25	20	75
E00045172	8	13	14	70
E00045173	9	11	11	54
E00045174	5	20	16	70
E00045175	11	29	24	68
E00045176	12	23	15	43
E00045177	10	20	11	51
E00045178	4	21	9	44
E00045179	6	22	21	75
E00045180	4	6	12	57
E00045181	4	19	10	46
E00045182	5	21	8	45
E00045183	11	20	18	72
E00045184	6	23	6	33
E00045186	3	17	14	49
E00045187	1	16	11	48
E00045188	3	27	25	78
E00045189	2	26	16	50
E00045190	6	20	19	49
E00045191	6	15	11	50
E00045192	4	31	21	79
E00045193	7	21	19	60
E00045194	4	20	24	62
E00045195	7	32	21	57
E00045196	4	17	13	32
E00045197	11	28	18	47
E00045198	3	7	12	34
E00045199	5	55	19	98
E00045200	5	33	20	40
E00045201	4	38	23	73
E00045202	4	38	28	47
E00045203	6	23	21	57
E00045204	11	40	33	87
E00045205	1	29	21	87
E00045206	5	31	28	61
E00045207	8	27	22	65
E00045208	8	42	20	76
E00045210	6	51	20	104
E00045212	6	36	21	72
E00045213	9	20	25	34
E00045214	5	19	22	55
E00045215	8	37	24	59
E00045216	10	19	15	41
E00045217	7	17	13	54
E00045218	9	32	26	50
E00045219	6	20	19	76
E00045220	8	17	12	51
E00045221	13	20	11	50
E00045222	7	17	14	16
E00045223	4	9	9	43
E00045224	0	16	7	38
E00045225	9	9	9	42
E00045226	4	10	9	37
E00045227	5	12	11	47
E00045228	7	15	10	36
E00045231	5	17	7	37
E00045232	4	20	15	48
E00045233	3	18	12	91
E00045234	4	17	8	50
E00045235	3	8	13	41
E00045236	12	37	26	54
E00045237	1	15	13	30
E00045238	4	10	14	40
E00045239	4	14	16	54
E00045240	5	14	16	33
E00045241	5	20	10	55
E00045242	5	14	10	65
E00045243	0	28	15	73
E00045244	6	18	15	51
E00045245	3	17	15	37
E00045246	6	16	15	58
E00045247	2	7	6	35
E00045249	8	35	20	31
E00045250	11	29	13	20
E00045251	8	25	20	37
E00045252	9	35	19	36
E00045253	23	35	15	13
E00045254	10	28	22	33
E00045255	39	42	21	16
E00045256	7	31	17	52
E00045257	13	47	31	24
E00045258	19	24	25	40
E00045259	6	24	15	37
E00045260	30	42	21	22
E00045261	8	42	19	51
E00045262	8	31	16	43
E00045263	5	18	10	47
E00045264	9	24	27	31
E00045265	6	19	27	35
E00045266	3	29	25	31
E00045267	10	12	10	14
E00045269	18	31	37	18
E00045271	7	16	15	23
E00045272	8	19	12	9
E00045273	12	31	20	16
E00045274	20	36	27	43
E00045275	20	43	23	14
E00045276	7	36	19	37
E00045277	7	34	24	36
E00045278	36	31	13	16
E00045279	15	27	14	11
E00045280	5	19	16	51
E00045281	2	34	21	34
E00045282	12	38	26	29
E00045283	9	36	25	43
E00045284	8	18	23	58
E00045285	5	22	22	34
E00045286	11	25	17	44
E00045287	15	21	23	30
E00045288	8	31	23	43
E00045289	3	19	16	31
E00045290	4	23	16	40
E00045292	3	26	29	47
E00045293	18	35	39	68
E00045294	12	21	14	29
E00045295	9	21	24	51
E00045296	16	37	29	16
E00045297	17	39	25	17
E00045298	14	27	30	37
E00045299	15	40	32	18
E00045300	14	31	22	25
E00045301	16	24	21	18
E00045302	5	17	18	55
E00045303	12	38	26	41
E00045304	4	16	23	51
E00045305	15	39	19	18
E00045306	13	37	20	27
E00045307	4	11	27	51
E00045308	12	24	23	31
E00045309	19	26	14	27
E00045310	6	24	21	33
E00045311	7	20	24	33
E00045312	12	35	21	35
E00045313	14	22	19	14
E00045315	5	31	12	59
E00045317	9	27	21	29
E00045318	7	19	23	37
E00045320	5	34	34	41
E00045321	5	28	23	50
E00045322	4	20	26	50
E00045323	4	15	12	44
E00045324	11	32	26	52
E00045325	5	24	23	58
E00045326	24	20	20	17
E00045327	22	27	8	15
E00045328	29	44	22	13
E00045329	5	30	18	42
E00045330	7	22	23	33
E00045331	11	20	25	46
E00045332	16	28	24	35
E00045333	12	30	25	36
E00045334	36	56	37	33
E00045335	5	20	17	36
E00045336	11	33	30	35
E00045337	8	26	20	49
E00045338	7	32	24	27
E00045339	9	30	13	41
E00045340	10	24	15	40
E00045341	10	19	19	45
E00045342	32	73	48	44
E00045343	15	27	33	23
E00045344	2	21	19	52
E00045345	9	30	37	41
E00045346	13	29	25	33
E00045347	14	34	16	27
E00045348	16	31	20	41
E00045349	23	31	27	8
E00045350	8	28	22	37
E00045351	16	29	27	36
E00045352	6	32	27	39
E00045353	12	24	27	37
E00045354	14	33	33	31
E00045355	5	13	35	39
E00045356	7	23	21	34
E00045357	8	30	28	38
E00045358	10	23	19	28
E00045359	15	33	35	35
E00045360	10	35	29	30
E00045361	11	25	25	14
E00045362	10	25	29	49
E00045363	9	22	26	38
E00045364	10	44	26	32
E00045365	14	22	25	22
E00045366	14	32	25	10
E00045367	6	19	12	18
E00045368	13	30	30	15
E00045369	20	39	25	16
E00045370	14	32	38	17
E00045371	13	21	29	23
E00045372	16	34	24	9
E00045373	21	27	27	18
E00045374	36	28	17	23
E00045375	13	30	19	45
E00045376	14	38	25	42
E00045377	27	27	22	20
E00045378	26	20	18	17
E00045379	14	27	15	35
E00045380	17	27	22	19
E00045381	11	27	25	45
E00045382	30	23	19	7
E00045383	12	35	18	54
E00045384	13	29	25	41
E00045385	7	23	25	58
E00045386	28	24	9	14
E00045387	38	15	11	14
E00045388	8	19	25	45
E00045389	6	18	17	67
E00045390	19	13	10	22
E00045391	27	28	19	14
E00045392	21	38	12	49
E00045393	9	20	26	38
E00045394	8	19	29	50
E00045395	8	19	20	44
E00045396	11	24	15	35
E00045397	10	31	15	47
E00045398	4	32	19	43
E00045399	9	23	24	42
E00045400	8	22	17	41
E00045401	13	24	19	34
E00045402	16	25	19	39
E00045403	14	18	21	38
E00045404	2	7	6	17
E00045405	3	18	21	27
E00045406	13	22	28	29
E00045407	11	21	19	30
E00045408	6	17	18	32
E00045409	19	25	16	32
E00045410	5	17	32	33
E00045411	14	29	15	25
E00045412	6	24	16	50
E00045413	4	9	12	30
E00045414	20	15	22	24
E00045415	32	49	15	13
E00045416	16	31	16	24
E00045417	42	25	12	10
E00045418	15	14	11	4
E00045419	10	31	23	44
E00045420	39	51	29	31
E00045421	28	38	20	25
E00045422	51	34	12	12
E00045423	51	30	11	10
E00045424	35	26	8	9
E00045425	17	29	14	20
E00045426	19	23	11	24
E00045427	23	32	26	27
E00045428	19	35	18	30
E00045429	37	34	19	13
E00045430	13	25	12	19
E00045431	41	32	15	19
E00045432	11	18	10	23
E00045433	42	31	9	8
E00045434	14	26	24	37
E00045435	4	28	23	66
E00045436	23	34	12	9
E00045437	7	8	5	12
E00045438	29	15	8	9
E00045439	30	40	16	19
E00045440	16	16	6	4
E00045441	31	26	22	8
E00045442	55	23	16	15
E00045443	48	40	13	19
E00045444	43	23	19	27
E00045445	28	60	23	39
E00045446	32	33	11	14
E00045447	27	53	21	19
E00045448	23	39	18	27
E00045449	34	35	17	14
E00045450	30	29	18	35
E00045451	35	45	24	17
E00045452	19	30	20	45
E00045453	14	43	24	35
E00045454	26	32	22	34
E00045455	8	18	10	68
E00045456	12	24	25	47
E00045457	11	33	19	74
E00045458	25	29	21	15
E00045459	17	39	17	29
E00045460	24	25	18	25
E00045461	16	30	15	30
E00045462	19	20	29	34
E00045463	26	22	21	24
E00045464	20	33	21	20
E00045465	22	21	11	22
E00045466	27	25	19	18
E00045467	24	24	14	30
E00045468	37	29	13	17
E00045469	41	45	21	28
E00045470	56	39	13	11
E00045471	41	34	14	14
E00045472	14	26	14	24
E00045473	47	36	21	12
E00045474	34	29	9	13
E00045475	23	28	16	16
E00045476	19	24	16	28
E00045477	20	25	9	10
E00045478	31	40	14	25
E00045479	36	26	10	8
E00045480	32	30	13	18
E00045481	39	41	14	20
E00045482	29	8	7	13
E00045483	27	38	19	30
E00045484	34	27	19	17
E00045485	8	39	19	54
E00045486	32	34	15	23
E00045487	17	20	17	33
E00045488	32	32	13	30
E00045489	6	11	4	13
E00045490	32	11	11	13
E00045491	13	26	17	54
E00045492	26	46	16	31
E00045493	59	31	13	8
E00045494	50	29	15	7
E00045495	14	19	12	18
E00045496	10	27	10	53
E00045497	33	20	12	11
E00045498	39	33	14	8
E00045499	17	28	22	26
E00045500	15	35	25	49
E00045501	12	32	19	36
E00045502	4	22	19	37
E00045503	4	28	24	39
E00045504	8	26	22	40
E00045505	3	10	18	68
E00045506	34	27	12	27
E00045507	5	18	24	37
E00045508	9	20	32	30
E00045509	2	12	22	59
E00045510	3	6	6	16
E00045511	6	23	25	35
E00045512	4	20	22	50
E00045513	5	27	17	81
E00045514	2	21	15	72
E00045515	4	11	23	56
E00045516	10	21	19	48
E00045517	4	24	21	64
E00045518	3	23	19	67
E00045519	3	17	23	52
E00045520	43	28	12	15
E00045521	23	30	9	18
E00045522	35	25	9	14
E00045523	29	25	14	10
E00045524	47	16	7	8
E00045525	34	27	15	25
E00045526	47	24	15	19
E00045527	17	23	19	38
E00045528	18	46	23	30
E00045529	36	18	12	11
E00045530	21	18	9	21
E00045531	48	23	9	9
E00045532	13	23	25	44
E00045533	7	26	14	43
E00045534	20	32	7	51
E00045535	15	30	21	9
E00045536	20	41	18	15
E00045537	34	49	16	13
E00045538	5	20	20	61
E00045539	15	26	21	23
E00045540	29	26	23	12
E00045541	31	37	15	10
E00045542	36	29	18	20
E00045543	19	40	21	22
E00045544	19	36	14	29
E00045545	10	20	18	40
E00045546	27	27	18	12
E00045547	57	37	22	14
E00045548	36	34	14	13
E00045549	31	29	23	25
E00045550	16	24	19	17
E00045551	24	22	20	15
E00045552	24	25	15	10
E00045553	8	33	11	51
E00045554	15	52	24	46
E00045555	31	35	20	14
E00045556	12	14	13	15
E00045557	25	25	13	32
E00045558	19	25	23	22
E00045559	20	35	22	60
E00045560	19	36	16	20
E00045561	20	32	18	17
E00045562	31	51	40	39
E00045563	18	38	20	4
E00045564	6	20	27	31
E00045566	28	50	32	36
E00045568	24	25	26	11
E00045569	7	16	13	39
E00045570	18	40	29	14
E00045571	9	22	24	17
E00045572	19	33	33	15
E00045573	27	33	25	14
E00045574	25	32	23	21
E00045575	23	30	20	11
E00045576	20	37	31	42
E00045577	19	27	16	13
E00045578	13	29	18	19
E00045579	8	12	20	56
E00045580	28	45	17	23
E00045581	2	5	11	42
E00045582	10	17	13	36
E00045583	11	18	8	33
E00045584	42	32	7	4
E00045585	61	30	5	7
E00045586	14	8	3	8
E00045587	53	22	3	9
E00045588	13	34	11	29
E00045589	43	29	3	5
E00045590	66	49	7	16
E00045592	54	29	23	25
E00045593	23	53	12	30
E00045594	16	48	14	52
E00045595	66	52	12	16
E00045596	43	67	7	31
E00045597	54	56	16	41
E00045598	23	46	37	86
E00045599	35	64	24	27
E00045600	47	36	16	31
E00045601	31	46	21	34
E00045602	31	73	19	45
E00045603	76	71	19	27
E00045604	49	43	8	15
E00045605	24	37	21	39
E00045606	47	54	6	11
E00045607	26	48	5	18
E00045608	34	39	2	9
E00045609	47	24	2	2
E00045610	49	48	13	26
E00045611	26	34	10	25
E00045612	54	30	11	8
E00045613	42	17	3	7
E00045614	63	24	0	8
E00045615	35	21	5	6
E00045616	39	27	1	6
E00045618	5	8	9	21
E00045620	41	34	3	14
E00045621	46	27	6	6
E00045622	50	29	5	9
E00045623	14	24	8	21
E00045624	44	27	1	5
E00045625	8	24	13	51
E00045627	44	20	3	4
E00045628	33	28	6	7
E00045629	41	30	4	9
E00045630	8	37	21	55
E00045631	5	35	10	43
E00045632	51	31	8	25
E00045633	11	17	12	34
E00045635	3	16	17	42
E00045636	51	20	10	21
E00045637	38	11	5	21
E00045638	4	27	24	44
E00045639	20	31	12	37
E00045640	12	10	4	29
E00045641	52	37	8	12
E00045643	38	36	8	18
E00045644	20	23	14	25
E00045645	62	20	6	5
E00045646	51	19	5	11
E00045647	30	37	15	44
E00045648	107	86	13	13
E00045649	9	65	7	17
E00045651	34	33	18	30
E00045652	6	20	16	41
E00045653	10	35	18	42
E00045654	11	26	18	48
E00045655	27	52	6	23
E00045656	97	81	12	21
E00045658	28	45	30	67
E00045659	18	53	17	45
E00045660	15	55	6	21
E00045661	15	58	6	18
E00045662	8	34	18	48
E00045663	23	51	33	30
E00045664	29	38	22	14
E00045665	20	37	23	32
E00045666	10	16	20	21
E00045667	38	66	26	71
E00045668	39	50	30	74
E00045669	20	41	34	84
E00045670	7	27	30	59
E00045671	9	24	25	52
E00045672	25	31	19	26
E00045673	8	21	11	30
E00045674	19	21	15	19
E00045675	21	21	17	17
E00045676	35	26	25	10
E00045677	31	34	13	24
E00045678	20	24	21	17
E00045679	16	27	19	15
E00045680	18	33	29	43
E00045681	16	44	26	47
E00045682	11	36	23	23
E00045683	14	28	28	18
E00045684	11	23	17	37
E00045685	14	25	14	21
E00045686	17	19	10	21
E00045687	17	39	30	21
E00045688	22	36	12	22
E00045689	20	32	21	19
E00045690	21	62	38	36
E00045691	18	22	26	22
E00045692	6	19	8	21
E00045693	13	36	14	13
E00045694	25	30	15	26
E00045695	18	30	23	31
E00045696	10	35	12	23
E00045697	10	22	23	30
E00045698	11	23	25	46
E00045699	27	21	19	31
E00045700	15	29	18	40
E00045701	20	26	17	18
E00045702	16	20	16	41
E00045703	15	33	16	20
E00045704	21	27	14	34
E00045705	18	37	25	29
E00045706	21	36	24	41
E00045707	17	26	22	29
E00045708	12	17	15	35
E00045709	16	31	21	36
E00045710	16	29	20	21
E00045711	10	28	17	29
E00045712	12	22	19	51
E00045713	13	28	16	51
E00045714	15	33	29	18
E00045715	19	26	20	31
E00045716	5	25	12	76
E00045717	19	31	22	17
E00045718	10	38	16	30
E00045719	5	25	16	75
E00045720	34	48	26	46
E00045721	20	31	26	24
E00045722	13	30	16	13
E00045724	24	36	20	13
E00045726	1	18	10	39
E00045727	8	17	19	49
E00045728	17	43	25	33
E00045729	19	33	16	26
E00045730	25	29	24	22
E00045731	18	44	18	33
E00045732	35	32	14	23
E00045734	23	39	16	13
E00045735	9	23	19	74
E00045736	17	31	17	22
E00045737	29	40	21	29
E00045739	19	42	19	27
E00045740	16	25	18	28
E00045741	16	41	21	37
E00045742	23	37	23	15
E00045743	19	28	23	6
E00045744	8	16	15	16
E00045745	7	34	24	57
E00045746	7	18	42	48
E00045747	16	36	29	78
E00045748	12	26	23	45
E00045749	18	35	23	52
E00045750	22	42	14	20
E00045751	16	32	26	33
E00045752	16	25	34	51
E00045753	6	28	23	48
E00045754	24	26	15	15
E00045755	6	16	17	39
E00045756	4	7	9	20
E00045757	12	17	13	31
E00045758	12	24	23	35
E00045759	11	23	19	41
E00045760	11	25	22	45
E00045761	14	22	24	39
E00045762	7	35	27	38
E00045763	12	27	24	44
E00045764	10	27	15	56
E00045765	18	23	26	41
E00045766	13	33	27	47
E00045767	7	26	21	42
E00045768	6	21	18	44
E00045769	8	26	25	44
E00045770	6	28	22	43
E00045771	9	16	19	46
E00045772	24	28	17	27
E00045773	29	22	14	30
E00045774	7	30	27	41
E00045775	10	29	19	50
E00045776	21	30	18	15
E00045777	19	23	18	13
E00045778	10	26	16	42
E00045779	6	25	19	43
E00045780	11	24	18	39
E00045781	10	19	12	61
E00045782	18	26	18	29
E00045783	14	16	24	37
E00045784	16	28	10	45
E00045785	22	30	24	19
E00045786	10	22	23	38
E00045787	8	19	18	36
E00045788	8	27	17	49
E00045789	8	13	17	30
E00045790	19	21	16	33
E00045791	9	27	15	44
E00045792	10	18	14	50
E00045793	2	20	26	55
E00045794	4	27	17	46
E00045795	4	18	18	70
E00045796	1	19	18	51
E00045797	14	35	18	35
E00045798	20	26	22	36
E00045799	5	18	17	57
E00045800	14	16	29	50
E00045801	2	12	20	47
E00045802	13	20	18	41
E00045803	21	19	25	50
E00045804	2	17	21	66
E00045805	7	23	13	54
E00045806	14	40	25	44
E00045807	19	27	24	24
E00045808	9	15	20	48
E00045809	10	11	24	47
E00045810	14	11	22	31
E00045811	9	29	17	57
E00045812	11	31	24	63
E00045813	19	37	13	30
E00045814	13	19	30	50
E00045815	33	54	40	48
E00045816	8	15	19	29
E00045817	10	23	23	57
E00045818	21	27	25	73
E00045819	18	28	22	43
E00045820	13	26	20	45
E00045821	16	20	22	39
E00045822	18	19	21	38
E00045823	8	21	10	12
E00045825	24	40	19	16
E00045826	29	33	25	12
E00045827	30	26	19	13
E00045828	34	22	19	14
E00045829	20	29	13	16
E00045830	21	29	23	16
E00045831	12	41	21	24
E00045832	31	19	22	18
E00045833	35	31	21	18
E00045834	22	28	22	14
E00045835	19	43	28	22
E00045836	30	29	19	22
E00045837	26	39	25	18
E00045838	10	25	26	42
E00045839	22	36	29	22
E00045840	28	35	21	17
E00045841	16	23	15	49
E00045842	15	26	17	38
E00045843	13	28	23	24
E00045844	14	37	20	40
E00045845	22	20	11	26
E00045846	12	25	13	45
E00045847	13	19	18	48
E00045848	12	27	17	42
E00045849	18	32	10	18
E00045850	14	28	13	33
E00045851	15	15	12	16
E00045852	14	27	19	24
E00045853	20	34	13	31
E00045854	24	17	13	26
E00045855	32	31	13	15
E00045856	18	23	15	29
E00045857	15	16	9	8
E00045858	11	23	21	17
E00045859	36	20	14	23
E00045860	29	24	15	26
E00045861	30	30	17	21
E00045862	18	33	16	28
E00045863	13	26	17	18
E00045864	31	29	12	17
E00045865	29	24	8	26
E00045866	12	29	14	20
E00045867	16	27	25	32
E00045868	29	24	13	16
E00045869	31	28	14	14
E00045870	24	19	16	16
E00045871	26	25	20	20
E00045872	30	23	13	22
E00045873	19	22	21	20
E00045874	21	26	21	29
E00045875	11	34	19	58
E00045876	16	32	26	39
E00045877	23	36	14	16
E00045878	39	43	15	25
E00045879	15	26	25	34
E00045880	13	21	25	53
E00045881	33	34	15	25
E00045882	31	30	15	27
E00045883	20	22	25	30
E00045884	12	19	33	36
E00045885	30	28	15	20
E00045886	14	28	12	51
E00045887	29	29	22	20
E00045888	25	27	22	33
E00045889	31	29	14	17
E00045890	38	26	14	19
E00045891	29	32	16	21
E00045892	25	26	14	18
E00045893	26	29	17	24
E00045894	21	25	14	30
E00045895	21	28	13	11
E00045896	34	33	14	28
E00045897	23	29	19	20
E00045898	21	46	15	25
E00045899	38	20	17	17
E00045900	22	27	22	17
E00045901	24	23	21	45
E00045902	1	15	6	47
E00045904	6	25	17	55
E00045905	6	25	16	54
E00045906	12	42	20	94
E00045907	6	14	15	37
E00045909	7	26	10	57
E00045910	6	23	21	40
E00045911	15	35	27	40
E00045912	10	19	4	23
E00045913	5	20	17	62
E00045914	8	25	24	62
E00045915	6	19	17	32
E00045916	6	9	5	23
E00045917	14	32	20	65
E00045918	9	26	18	32
E00045919	8	40	12	49
E00045920	7	22	22	66
E00045921	6	20	15	52
E00045922	22	40	28	60
E00045923	12	21	19	39
E00045924	5	36	10	48
E00045925	11	31	25	73
E00045926	8	29	23	57
E00045927	12	26	20	56
E00045928	6	19	8	62
E00045929	6	24	16	47
E00045930	7	20	13	63
E00045931	12	11	9	53
E00045932	8	18	10	39
E00045933	21	28	19	40
E00045934	19	27	19	42
E00045935	6	40	11	72
E00045936	7	26	14	56
E00045937	7	16	24	45
E00045939	5	16	18	57
E00045940	9	23	17	47
E00045941	19	35	26	76
E00045943	5	26	16	54
E00045944	11	18	9	68
E00045945	2	18	16	64
E00045946	9	19	11	45
E00045947	9	30	22	67
E00045948	9	20	11	67
E00045949	7	29	17	48
E00045950	9	35	18	43
E00045951	14	41	24	41
E00045952	6	38	19	26
E00045953	4	48	14	48
E00045954	15	39	15	28
E00045955	11	29	15	53
E00045956	8	25	8	59
E00045957	5	45	18	41
E00045959	5	31	9	47
E00045960	18	48	22	59
E00045961	5	31	15	59
E00045962	16	23	14	29
E00045963	19	39	17	50
E00045964	2	26	16	42
E00045965	8	42	17	40
E00045966	11	24	27	56
E00045967	7	38	15	50
E00045968	15	46	20	84
E00045969	8	28	11	52
E00045970	14	26	18	28
E00045971	73	43	5	13
E00045972	46	29	11	12
E00045973	51	40	5	8
E00045974	65	42	8	9
E00045975	59	24	7	4
E00045976	65	30	5	1
E00045977	54	32	6	9
E00045978	83	35	12	6
E00045979	55	34	8	13
E00045980	78	27	4	8
E00045981	57	23	8	10
E00045982	61	24	2	9
E00045983	41	12	3	2
E00045984	54	30	14	9
E00045985	74	40	9	11
E00045986	80	41	4	12
E00045987	58	22	10	5
E00045988	38	37	9	10
E00045989	54	38	10	8
E00045990	40	39	20	11
E00045991	49	36	2	9
E00045992	8	26	11	53
E00045993	53	44	8	19
E00045994	58	22	12	10
E00045995	69	37	7	9
E00045996	2	24	11	83
E00045997	55	21	7	12
E00045998	10	27	25	58
E00045999	26	11	6	6
E00046000	64	28	8	20
E00046001	64	22	8	5
E00046002	3	18	30	55
E00046003	13	27	23	38
E00046004	28	37	17	21
E00046005	47	22	6	13
E00046006	34	49	10	25
E00046007	18	53	13	20
E00046008	18	26	17	44
E00046009	7	17	10	36
E00046010	5	32	20	57
E00046011	31	19	8	5
E00046012	15	27	14	47
E00046013	31	44	7	22
E00046014	13	31	31	67
E00046015	25	19	16	21
E00046016	35	36	11	14
E00046017	4	31	23	75
E00046018	30	41	15	36
E00046019	28	44	12	31
E00046020	30	27	17	20
E00046021	43	45	5	11
E00046022	14	37	7	28
E00046023	25	39	9	28
E00046024	17	45	12	30
E00046025	31	25	17	14
E00046026	18	54	14	28
E00046027	34	28	10	25
E00046028	42	27	16	14
E00046029	37	39	11	12
E00046030	30	24	11	6
E00046031	30	45	10	23
E00046032	9	26	25	34
E00046033	21	42	8	22
E00046034	39	48	10	7
E00046035	9	27	21	35
E00046036	12	28	13	31
E00046037	8	28	21	30
E00046038	18	22	10	27
E00046039	42	44	13	16
E00046040	57	24	7	7
E00046041	47	19	6	2
E00046042	52	30	6	7
E00046043	59	26	8	3
E00046044	58	20	8	3
E00046045	49	28	13	0
E00046046	52	16	10	3
E00046047	56	23	6	6
E00046048	47	19	7	5
E00046049	38	28	10	12
E00046050	42	42	8	9
E00046051	8	36	34	43
E00046052	11	25	20	27
E00046053	11	30	23	62
E00046056	8	33	17	59
E00046057	13	26	19	28
E00046058	14	30	22	32
E00046059	12	31	20	36
E00046060	11	38	16	55
E00046061	7	25	27	49
E00046062	3	23	25	59
E00046063	10	30	18	28
E00046064	3	23	29	59
E00046065	10	37	21	46
E00046066	2	27	16	63
E00046067	4	34	27	58
E00046068	7	24	23	28
E00046069	10	30	21	42
E00046070	2	19	17	60
E00046071	26	31	18	43
E00046073	8	20	15	43
E00046074	2	17	13	44
E00046075	2	20	21	54
E00046076	3	12	16	82
E00046080	6	21	25	54
E00046081	9	31	29	39
E00046082	4	15	23	72
E00046083	14	22	21	36
E00046085	7	25	26	43
E00046086	6	24	31	28
E00046087	5	20	16	53
E00046088	8	25	16	37
E00046089	14	28	17	44
E00046090	16	32	21	20
E00046091	1	13	19	91
E00046093	3	21	17	29
E00046094	5	17	20	65
E00046095	12	23	18	31
E00046096	19	31	22	25
E00046097	9	25	22	30
E00046098	1	13	9	30
E00046099	12	24	11	53
E00046100	6	16	17	13
E00046101	13	18	31	41
E00046102	15	24	20	32
E00046103	16	26	23	33
E00046104	12	24	22	21
E00046105	11	19	18	29
E00046106	6	28	14	30
E00046107	3	25	18	44
E00046108	15	33	25	43
E00046109	9	36	19	40
E00046110	17	25	13	32
E00046111	14	41	19	26
E00046112	23	17	16	34
E00046113	12	35	15	36
E00046114	20	21	16	22
E00046115	6	19	15	22
E00046116	15	31	14	31
E00046117	28	29	15	39
E00046118	8	28	23	15
E00046119	15	32	24	47
E00046120	16	18	17	43
E00046121	12	23	18	36
E00046122	9	37	22	41
E00046123	16	32	17	36
E00046124	3	23	16	34
E00046125	12	23	20	30
E00046126	11	25	14	49
E00046127	3	23	29	61
E00046128	7	30	21	51
E00046129	11	22	22	31
E00046130	2	22	25	43
E00046131	7	23	21	42
E00046132	14	31	23	43
E00046133	14	60	34	93
E00046134	18	19	25	34
E00046135	4	27	27	74
E00046136	16	34	32	30
E00046137	9	29	13	50
E00046138	8	26	26	43
E00046140	9	20	23	26
E00046141	8	36	32	40
E00046142	9	21	13	27
E00046143	12	15	21	35
E00046144	13	28	20	16
E00046145	8	16	21	12
E00046146	10	17	21	40
E00046147	12	22	19	38
E00046148	21	48	24	57
E00046149	10	31	29	26
E00046150	14	37	26	25
E00046151	6	13	19	34
E00046152	1	23	24	26
E00046153	22	28	17	38
E00046154	14	20	24	31
E00046155	7	22	20	49
E00046156	3	13	11	29
E00046157	6	12	17	41
E00046158	5	12	11	32
E00046159	21	23	15	35
E00046160	1	24	17	41
E00046161	1	11	13	48
E00046162	5	15	21	37
E00046163	11	50	35	70
E00046164	16	27	28	37
E00046166	4	18	16	47
E00046167	2	12	15	25
E00046168	4	12	12	64
E00046169	4	19	15	32
E00046170	15	22	19	28
E00046171	5	25	23	42
E00046172	1	27	23	36
E00046173	7	32	24	45
E00046174	5	16	8	39
E00046175	5	22	25	53
E00046176	7	22	24	46
E00046177	1	21	19	57
E00046178	3	19	25	44
E00046179	7	22	34	49
E00046180	7	28	22	43
E00046181	6	21	23	56
E00046182	4	21	28	32
E00046183	9	29	33	52
E00046184	23	27	14	15
E00046185	6	22	24	48
E00046186	22	39	30	17
E00046187	23	31	25	47
E00046188	23	32	23	24
E00046189	13	36	15	36
E00046190	2	23	16	23
E00046191	11	38	25	23
E00046192	5	24	18	46
E00046193	7	23	20	24
E00046194	8	32	15	56
E00046195	15	21	18	14
E00046196	9	19	28	66
E00046197	15	22	31	15
E00046198	13	19	18	33
E00046199	15	26	28	18
E00046200	14	31	40	24
E00046201	10	28	20	29
E00046202	11	31	26	55
E00046203	8	23	15	47
E00046204	4	21	23	60
E00046205	10	32	20	20
E00046206	14	27	24	33
E00046207	6	17	10	31
E00046208	7	26	19	29
E00046209	4	24	13	39
E00046210	19	34	17	12
E00046211	4	20	25	55
E00046212	10	20	20	40
E00046213	14	28	19	27
E00046214	6	17	26	26
E00046215	14	20	24	15
E00046216	4	29	19	34
E00046217	12	21	13	40
E00046218	4	20	13	48
E00046219	6	22	12	35
E00046220	6	28	15	40
E00046221	7	24	18	39
E00046222	8	18	19	40
E00046223	15	29	18	18
E00046224	39	34	15	13
E00046225	33	33	19	23
